instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.25_nA15_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,2807,15,30,FEASIBLE,2,8.45666,15000,0.0112455,17
r_n100_p0.5_nA10_nB10_i1,heur_semigreedy2s_v2_a0.2,0,100,2429,10,10,FEASIBLE,2,2.70994,10000,0.0289839,101
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,2753,30,30,FEASIBLE,4,12.1002,15000,0.00109883,0
r_n150_p0.5_nA30_nB15_i0,heur_semigreedy2s_v2_a0.2,0,150,5641,30,15,FEASIBLE,7,17.1484,15000,0.035144,32
r_n100_p0.5_nA10_nB20_i0,heur_semigreedy2s_v2_a0.2,0,100,2512,10,20,FEASIBLE,2,3.91425,10000,0.0186589,23
r_n150_p0.5_nA15_nB15_i0,heur_semigreedy2s_v2_a0.2,0,150,5546,15,15,FEASIBLE,3,16.0543,15000,0.0238589,23
r_n100_p0.75_nA20_nB20_i2,heur_semigreedy2s_v2_a0.2,0,100,3677,20,20,FEASIBLE,6,4.85008,10000,0.630603,1319
r_n150_p0.25_nA30_nB15_i1,heur_semigreedy2s_v2_a0.2,0,150,2805,30,15,FEASIBLE,4,8.99849,15000,0.0115952,15
r_n150_p0.5_nA15_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,5614,15,30,FEASIBLE,3,17.6381,15000,0.00375579,1
r_n150_p0.75_nA15_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,8362,15,30,FEASIBLE,4,16.663,15000,0.342731,308
r_n150_p0.25_nA15_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,2772,15,30,FEASIBLE,2,8.13012,15000,0.00497913,8
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,8301,30,30,FEASIBLE,8,39.2705,15000,1.09192,287
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,8404,30,30,FEASIBLE,9,27.5793,15000,0.164329,91
r_n150_p0.25_nA15_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,2756,15,30,FEASIBLE,2,8.89008,15000,0.0016497,1
r_n150_p0.75_nA30_nB15_i1,heur_semigreedy2s_v2_a0.2,0,150,8405,30,15,FEASIBLE,9,8.03059,15000,2.12731,3872
r_n100_p0.25_nA10_nB20_i1,heur_semigreedy2s_v2_a0.2,0,100,1262,10,20,FEASIBLE,2,2.03639,10000,0.00037944,0
r_n100_p0.25_nA20_nB20_i2,heur_semigreedy2s_v2_a0.2,0,100,1245,20,20,FEASIBLE,3,2.71667,10000,0.000637832,1
r_n100_p0.25_nA10_nB10_i0,heur_semigreedy2s_v2_a0.2,0,100,1244,10,10,FEASIBLE,1,1.82836,10000,0.307408,1623
r_n100_p0.25_nA10_nB10_i2,heur_semigreedy2s_v2_a0.2,0,100,1275,10,10,FEASIBLE,1,1.85624,10000,0.00370397,14
r_n100_p0.25_nA20_nB20_i1,heur_semigreedy2s_v2_a0.2,0,100,1269,20,20,FEASIBLE,3,2.68221,10000,0.000361322,0
r_n150_p0.25_nA15_nB15_i1,heur_semigreedy2s_v2_a0.2,0,150,2818,15,15,FEASIBLE,2,7.67394,15000,0.00596487,9
r_n100_p0.25_nA10_nB20_i0,heur_semigreedy2s_v2_a0.2,0,100,1228,10,20,FEASIBLE,1,2.02932,10000,0.0115571,52
r_n100_p0.75_nA10_nB10_i0,heur_semigreedy2s_v2_a0.2,0,100,3716,10,10,FEASIBLE,3,2.9481,10000,0.00518889,14
r_n150_p0.5_nA15_nB15_i2,heur_semigreedy2s_v2_a0.2,0,150,5579,15,15,FEASIBLE,3,13.5748,15000,0.0257694,24
r_n100_p0.75_nA20_nB20_i0,heur_semigreedy2s_v2_a0.2,0,100,3723,20,20,FEASIBLE,6,4.90942,10000,0.318693,640
r_n100_p0.75_nA20_nB10_i0,heur_semigreedy2s_v2_a0.2,0,100,3729,20,10,FEASIBLE,7,1.71579,10000,0.394477,2199
