instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ntrivialNodes,nintNodes,nfracNodes,ngcpNodes,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n120_p0.5_nA12_nB24_i4,byp_,0,120,3594,12,24,-1,-1,OPTIMAL,optimality proven,14.131,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.40909,12.0,2.9644e-319,0.0,2307,0,2300,6,0,1,128,0,119,9,0,0,1.55941,1.17e-06,0.156689,0.0237236,0.0,1.379,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB11_i4,byp_,0,110,1498,22,11,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,25,12,2.0,3.0,0.333333,0.0,0,0,0,0.0,1,1,0,0,0,0,0,24,0,1.67555,10.0,2.71736e-319,0.0,10070,0,10000,37,0,33,441,0,405,4,0,32,44.7831,5.92e-06,0.556886,0.294681,0.0,43.9315,5e-324,0,0.0,49452,23849,25125,239,0,238,316,35,42,1,0,237,297.662,0.0076038,1.59377,1.32088,0.0,294.74
r_n120_p0.5_nA12_nB12_i4,byp_,0,120,3595,12,12,-1,-1,OPTIMAL,optimality proven,13.535,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.45614,12.0,2.9644e-319,0.0,2407,0,2400,6,0,1,133,0,125,8,0,0,1.49067,1.321e-06,0.172587,0.0226877,0.0,1.2954,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.75_nA13_nB26_i2,byp_,0,130,6270,13,26,-1,-1,OPTIMAL,optimality proven,92.884,11,0,3.0,3.0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0,0,11,0,2.6,80.0,3.21143e-319,0.0,1203,0,1200,0,3,0,76,0,74,0,2,0,0.129813,6.67e-07,0.0926651,0.0,0.0371476,0.0,5e-324,0,0.0,956,290,660,1,3,0,32,10,19,1,0,0,1.21728,4.53808e-05,0.051813,0.00842441,0.0336951,1.12331
r_n120_p0.5_nA24_nB24_i3,byp_,0,120,3562,24,24,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,33,16,3.36381,5.0,0.327239,0.0,0,0,0,0.0,1,1,0,0,0,0,0,32,0,3.13259,24.0,2.9644e-319,0.0,6448,0,6400,39,0,9,273,0,210,55,0,8,30.229,3.934e-06,0.407088,0.153502,0.0,29.6684,5e-324,0,0.0,12383,3848,8384,79,0,71,132,27,21,11,0,70,223.297,0.000858873,0.595459,0.72619,0.0,221.974
r_n110_p0.25_nA22_nB22_i0,byp_,0,110,1448,22,22,-1,-1,OPTIMAL,optimality proven,23.61,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.65367,9.0,2.56914e-319,0.0,10959,0,10900,42,0,17,342,0,297,29,0,16,13.7235,5.808e-06,0.592768,0.235627,0.0,12.8951,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB11_i2,byp_,0,110,1504,22,11,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,1,0,-1.79769e+308,2.0,1.79769e+306,0.0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.62465,10.0,2.71736e-319,0.0,127454,0,125100,1184,0,1170,1547,0,363,14,0,1170,7189.43,0.000202745,7.24643,17.5899,0.0,7164.59,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA24_nB12_i1,byp_,0,120,3585,24,12,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,4,1,3.68872,5.0,0.262257,0.0,0,0,0,0.0,1,1,0,0,0,0,0,3,0,3.58874,20.0,2.9397e-319,0.0,8253,0,8200,30,0,23,323,0,294,7,0,22,68.5132,6.168e-06,0.573123,0.0584883,0.0,67.8816,5e-324,0,0.0,161342,68704,90833,903,0,901,966,49,15,1,0,901,2370.91,0.0260945,8.05848,1.31034,0.0,2361.52
r_n120_p0.5_nA12_nB12_i1,byp_,0,120,3587,12,12,-1,-1,OPTIMAL,optimality proven,27.2518,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.46154,11.0,2.9644e-319,0.0,2722,0,2700,15,0,7,115,0,98,11,0,6,15.317,1.965e-06,0.18144,0.114688,0.0,15.0209,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA24_nB12_i3,byp_,0,120,3562,24,12,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,74,22,3.99615,5.0,0.20077,0.0,0,0,0,0.0,1,1,0,0,0,0,0,73,0,3.66163,17.0,2.8409e-319,0.0,9690,0,9600,48,0,42,326,0,279,6,0,41,117.993,7.712e-06,0.63109,0.0694499,0.0,117.292,5e-324,0,0.0,12936,5120,7676,70,0,69,120,29,21,1,0,68,96.7509,0.00180468,0.462624,0.0941902,0.0,96.1923
r_n120_p0.5_nA24_nB12_i0,byp_,0,120,3523,24,12,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,163,81,4.54293,6.0,0.242845,0.0,0,0,0,0.0,1,1,0,0,0,0,0,162,0,3.6386,17.0,2.74206e-319,0.0,7054,0,7000,28,0,26,281,0,254,2,0,25,53.7366,7.842e-06,0.428256,0.0804565,0.0,53.2279,5e-324,0,0.0,7432,2694,4659,39,0,38,93,29,25,1,0,37,43.9904,0.000464608,0.222735,0.0598362,0.0,43.7073
