instance,solver,run,nvertices,nedges,n,m,nvars,ncons,state,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,nint,ngcp,gcpTime,nsol,nsolHeur,nsolLR,ntrivial,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n170_p0.75_nA17_nB17_i1,byp_a0.1,0,170,10787,17,17,-1,-1,FEASIBLE,438.387,1,1,3.07208,5.0,0.385584,0.0,0,0,0,0,0,0.0,1,1,0,0,3.07208,5.0,63.5848,0.0,180,0,128,0,0,52,127,0,76,0,0,51,374.75,0.0,0.048923,0.0,0.0,374.701,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i1,byp_a0.1,0,150,5562,30,30,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.70835,6.0,68.1498,0.0,346,0,258,0,0,88,258,0,170,0,0,88,832.771,0.0,0.0699456,0.0,0.0,832.701,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i3,byp_a0.1,0,150,5675,30,30,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.57234,6.0,67.527,0.0,361,0,261,0,0,100,261,0,161,0,0,100,866.995,0.0,0.0643458,0.0,0.0,866.931,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB15_i0,byp_a0.1,0,150,5548,30,15,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.85898,6.0,55.1284,0.0,455,0,318,0,0,137,318,0,181,0,0,137,849.05,0.0,0.0767993,0.0,0.0,848.974,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB13_i0,byp_a0.1,0,130,2038,26,13,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.76364,3.0,21.0667,0.0,417,0,295,0,0,122,295,0,173,0,0,122,894.103,0.0,0.0406676,0.0,0.0,894.062,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB15_i2,byp_a0.1,0,150,5525,30,15,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.82446,6.0,53.5602,0.0,402,0,293,0,0,109,293,0,184,0,0,109,874.281,0.0,0.0700402,0.0,0.0,874.211,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB34_i3,byp_a0.1,0,170,10760,34,34,-1,-1,FEASIBLE,900.0,1,1,6.47379,10.0,0.352621,0.0,0,0,0,0,0,0.0,1,1,0,0,6.47379,10.0,136.093,0.0,355,0,268,0,0,87,267,0,181,0,0,86,770.975,0.0,0.0978868,0.0,0.0,770.877,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i1,byp_a0.1,0,130,2071,26,26,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.74162,3.0,22.8255,0.0,365,0,247,0,0,118,247,0,129,0,0,118,886.886,0.0,0.0378389,0.0,0.0,886.848,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i1,byp_a0.1,0,170,10786,34,17,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,12.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,9.60281,12.0,51.6584,0.0,479,0,312,0,0,167,312,0,145,0,0,167,863.628,0.0,0.126046,0.0,0.0,863.502,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB34_i2,byp_a0.1,0,170,10800,17,34,-1,-1,FEASIBLE,209.409,1,1,3.05466,5.0,0.389069,0.0,0,0,0,0,0,0.0,1,1,0,0,3.05466,5.0,74.3558,0.0,122,0,91,0,0,31,90,0,60,0,0,30,135.014,0.0,0.0345442,0.0,0.0,134.979,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB15_i3,byp_a0.1,0,150,5673,15,15,-1,-1,FEASIBLE,355.13,1,1,1.69616,3.0,0.434612,0.0,0,0,0,0,0,0.0,1,1,0,0,1.69616,3.0,29.9273,0.0,161,0,107,0,0,54,106,0,53,0,0,53,325.166,0.0,0.0290114,0.0,0.0,325.137,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB34_i0,byp_a0.1,0,170,10814,34,34,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,10.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,6.61068,10.0,136.505,0.0,296,0,221,0,0,75,221,0,146,0,0,75,785.337,0.0,0.081368,0.0,0.0,785.255,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i3,byp_a0.1,0,170,10775,34,17,-1,-1,FEASIBLE,578.251,1,1,8.65912,11.0,0.212807,0.0,0,0,0,0,0,0.0,1,1,0,0,8.65912,11.0,62.853,0.0,391,0,284,0,0,107,283,0,177,0,0,106,515.271,0.0,0.114187,0.0,0.0,515.157,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB17_i3,byp_a0.1,0,170,10751,17,17,-1,-1,FEASIBLE,506.086,1,1,3.15887,5.0,0.368226,0.0,0,0,0,0,0,0.0,1,1,0,0,3.15887,5.0,59.2033,0.0,174,0,122,0,0,52,121,0,70,0,0,51,446.833,0.0,0.0438455,0.0,0.0,446.789,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB30_i0,byp_a0.1,0,150,5548,15,30,-1,-1,OPTIMAL,380.328,1,0,2.0,2.0,0.0,0.0,0,0,0,0,0,0.0,1,1,0,0,1.64356,2.0,31.714,0.0,156,0,106,0,0,50,105,0,56,0,0,49,348.579,0.0,0.0271343,0.0,0.0,348.552,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB15_i2,byp_a0.1,0,150,5568,15,15,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,2.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.70119,2.0,28.7424,0.0,184,0,120,0,0,64,120,0,56,0,0,64,895.374,0.0,0.0330793,0.0,0.0,895.341,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB15_i3,byp_a0.1,0,150,5675,30,15,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,4.07875,6.0,56.1089,0.0,435,0,308,0,0,127,308,0,181,0,0,127,865.357,0.0,0.0776784,0.0,0.0,865.279,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB34_i4,byp_a0.1,0,170,10757,34,34,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,10.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,6.49618,10.0,138.36,0.0,335,0,245,0,0,90,245,0,155,0,0,90,781.987,0.0,0.0957414,0.0,0.0,781.892,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB13_i1,byp_a0.4,0,130,2181,26,13,-1,-1,FEASIBLE,384.842,1,1,1.89831,3.0,0.367229,0.0,0,0,0,0,0,0.0,1,1,0,0,1.89831,3.0,21.1959,0.0,514,0,314,0,0,200,313,0,114,0,0,199,363.512,0.0,0.0491498,0.0,0.0,363.463,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i2,byp_a0.4,0,170,10813,34,17,-1,-1,FEASIBLE,419.474,1,1,9.50221,11.0,0.136163,0.0,0,0,0,0,0,0.0,1,1,0,0,9.50221,11.0,43.9622,0.0,452,0,291,0,0,161,290,0,130,0,0,160,375.388,0.0,0.1118,0.0,0.0,375.276,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i0,byp_a0.4,0,170,10814,34,17,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,11.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,8.65907,11.0,49.2141,0.0,518,0,326,0,0,192,326,0,134,0,0,192,851.071,0.0,0.137038,0.0,0.0,850.934,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB34_i4,byp_a0.4,0,170,10756,17,34,-1,-1,OPTIMAL,268.476,1,0,3.0,3.0,0.0,0.0,0,0,0,1,0,0.0,2,1,1,0,3.0,5.0,70.5394,0.0,127,0,90,0,0,37,89,0,53,0,0,36,197.894,0.0,0.0386196,0.0,0.0,197.856,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB30_i4,byp_a0.4,0,150,5679,15,30,-1,-1,FEASIBLE,286.904,1,1,1.7037,3.0,0.432099,0.0,0,0,0,0,0,0.0,1,1,0,0,1.7037,3.0,33.8647,0.0,150,0,101,0,0,49,100,0,52,0,0,48,253.005,0.0,0.0247169,0.0,0.0,252.98,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i0,byp_a0.4,0,130,2038,26,26,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.69353,3.0,22.8305,0.0,430,0,273,0,0,157,273,0,116,0,0,157,878.332,0.0,0.042487,0.0,0.0,878.289,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i0,byp_a0.4,0,150,5548,30,30,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.50707,6.0,67.365,0.0,354,0,234,0,0,120,234,0,114,0,0,120,844.048,0.0,0.0627838,0.0,0.0,843.985,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB13_i3,byp_a0.4,0,130,2074,26,13,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.79336,3.0,20.3019,0.0,465,0,299,0,0,166,299,0,133,0,0,166,895.861,0.0,0.0455025,0.0,0.0,895.816,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
